ID	Plate	Number	Letter	Lattitude	Longitude	Continent	Elevation	Bio_1_T_annual_mean	Bio_2_T_diurnal_range_mean	Bio_3_T_isothermality	Bio_4_T_seasonality	Bio_5_T_warmest_month_max	Bio_6_T_coldest_month_min	Bio_7_T_annual_range	Bio_8_T_wettest_quarter_mean	Bio_9_T_driest_quarter_mean	Bio_10_T_warmest_quarter_mean	Bio_11_T_coldest_quarter_mean	Bio_12_P_annual	Bio_13_P_wettest_month	Bio_14_P_driest_month	Bio_15_P_seasonality	Bio_16_P_wettest_quarter	Bio_17_P_driest_quarter	Bio_18_P_warmest_quarter	Bio_19_P_coldest_quarter	Pop.name	Cat.Lat.Long
CABVZ6.1	31	8	D	38.348051	-123.05602	5	28.1	128	123	60	2894	238	35	203	95	159	164	90	1023	218	2	89	556	13	22	552	CABVZ6	38.348051_-123.05602
CABVZ6.2	32	12	B	38.348051	-123.05602	5	28.1	128	123	60	2894	238	35	203	95	159	164	90	1023	218	2	89	556	13	22	552	CABVZ6	38.348051_-123.05602
CABVZ6.3	31	9	E	38.348051	-123.05602	5	28.1	128	123	60	2894	238	35	203	95	159	164	90	1023	218	2	89	556	13	22	552	CABVZ6	38.348051_-123.05602
CABVZ6.4	31	4	D	38.348051	-123.05602	5	28.1	128	123	60	2894	238	35	203	95	159	164	90	1023	218	2	89	556	13	22	552	CABVZ6	38.348051_-123.05602
CABVZ6.5	31	12	E	38.348051	-123.05602	5	28.1	128	123	60	2894	238	35	203	95	159	164	90	1023	218	2	89	556	13	22	552	CABVZ6	38.348051_-123.05602
CABVZ6.7	32	6	B	38.348051	-123.05602	5	28.1	128	123	60	2894	238	35	203	95	159	164	90	1023	218	2	89	556	13	22	552	CABVZ6	38.348051_-123.05602
CABVZ6.8	31	3	G	38.348051	-123.05602	5	28.1	128	123	60	2894	238	35	203	95	159	164	90	1023	218	2	89	556	13	22	552	CABVZ6	38.348051_-123.05602
CABVZ3.1	31	10	H	38.335875	-123.045642	5	20.5	128	124	61	2915	239	36	203	95	159	164	90	1040	222	2	89	566	13	22	562	CABVZ3	38.335875_-123.045642
CABVZ3.2	32	9	E	38.335875	-123.045642	5	20.5	128	124	61	2915	239	36	203	95	159	164	90	1040	222	2	89	566	13	22	562	CABVZ3	38.335875_-123.045642
CABVZ3.3	31	6	F	38.335875	-123.045642	5	20.5	128	124	61	2915	239	36	203	95	159	164	90	1040	222	2	89	566	13	22	562	CABVZ3	38.335875_-123.045642
CABVZ3.5	32	3	B	38.335875	-123.045642	5	20.5	128	124	61	2915	239	36	203	95	159	164	90	1040	222	2	89	566	13	22	562	CABVZ3	38.335875_-123.045642
CABVZ3.6	31	12	H	38.335875	-123.045642	5	20.5	128	124	61	2915	239	36	203	95	159	164	90	1040	222	2	89	566	13	22	562	CABVZ3	38.335875_-123.045642
CABVZ3.7	32	5	C	38.335875	-123.045642	5	20.5	128	124	61	2915	239	36	203	95	159	164	90	1040	222	2	89	566	13	22	562	CABVZ3	38.335875_-123.045642
CABVZ3.8	31	7	E	38.335875	-123.045642	5	20.5	128	124	61	2915	239	36	203	95	159	164	90	1040	222	2	89	566	13	22	562	CABVZ3	38.335875_-123.045642
Ca10.1.2	9	11	D	37.948529	-122.612915	5	378.7	130	107	54	3382	238	42	196	95	170	174	89	1047	214	2	88	559	13	19	549	Ca10	37.948529_-122.612915
