ID	Lattitude	Longitude	Elevation	Bio_1_T_annual_mean	Bio_2_T_diurnal_range_mean	Bio_3_T_isothermality	Bio_4_T_seasonality	Bio_5_T_warmest_month_max	Bio_6_T_coldest_month_min	Bio_7_T_annual_range	Bio_8_T_wettest_quarter_mean	Bio_9_T_driest_quarter_mean	Bio_10_T_warmest_quarter_mean	Bio_11_T_coldest_quarter_mean	Bio_12_P_annual	Bio_13_P_wettest_month	Bio_14_P_driest_month	Bio_15_P_seasonality	Bio_16_P_wettest_quarter	Bio_17_P_driest_quarter	Bio_18_P_warmest_quarter	Bio_19_P_coldest_quarter	Cat.Lat_Long
1930_R1	36.749338	66.89867	346.8	174	135	33	9576	387	-16	403	71	299	299	51	176	43	0	95	103	0	0	82	36.749338_66.89867
1930_R2	36.749338	66.89867	346.8	174	135	33	9576	387	-16	403	71	299	299	51	176	43	0	95	103	0	0	82	36.749338_66.89867
1930.1	36.749338	66.89867	346.8	174	135	33	9576	387	-16	403	71	299	299	51	176	43	0	95	103	0	0	82	36.749338_66.89867
1930.17	36.749338	66.89867	346.8	174	135	33	9576	387	-16	403	71	299	299	51	176	43	0	95	103	0	0	82	36.749338_66.89867
1930.3	36.749338	66.89867	346.8	174	135	33	9576	387	-16	403	71	299	299	51	176	43	0	95	103	0	0	82	36.749338_66.89867
1930.5	36.749338	66.89867	346.8	174	135	33	9576	387	-16	403	71	299	299	51	176	43	0	95	103	0	0	82	36.749338_66.89867
1930.6	36.749338	66.89867	346.8	174	135	33	9576	387	-16	403	71	299	299	51	176	43	0	95	103	0	0	82	36.749338_66.89867
4006	43.41666667	2.25	845	98	91	36	5593	237	-11	248	116	170	170	28	922	94	55	13	256	207	212	231	43.41666667_2.25
50Spa.Nor.s6D.c4.R1	41.651389	0.294722	213	147	112	38	6347	308	14	294	173	80	228	66	419	54	20	29	136	75	93	75	41.651389_0.294722
A.A.1.R3	36.51064	36.00833	222.4	182	115	36	7534	345	31	314	82	273	273	82	578	117	0	89	341	6	6	341	36.51064_36.00833
A.D.1.R3	36.51064	36.00833	222.4	182	115	36	7534	345	31	314	82	273	273	82	578	117	0	89	341	6	6	341	36.51064_36.00833
A.D.2.R1	36.51064	36.00833	222.4	182	115	36	7534	345	31	314	82	273	273	82	578	117	0	89	341	6	6	341	36.51064_36.00833
A.D.2.R2	36.51064	36.00833	222.4	182	115	36	7534	345	31	314	82	273	273	82	578	117	0	89	341	6	6	341	36.51064_36.00833
A.D.2.R3	36.51064	36.00833	222.4	182	115	36	7534	345	31	314	82	273	273	82	578	117	0	89	341	6	6	341	36.51064_36.00833
A.E.1.R1	36.51064	36.00833	222.4	182	115	36	7534	345	31	314	82	273	273	82	578	117	0	89	341	6	6	341	36.51064_36.00833
A.E.1.R3	36.51064	36.00833	222.4	182	115	36	7534	345	31	314	82	273	273	82	578	117	0	89	341	6	6	341	36.51064_36.00833
A.E.2.R1	36.51064	36.00833	222.4	182	115	36	7534	345	31	314	82	273	273	82	578	117	0	89	341	6	6	341	36.51064_36.00833
Ab1.2	38.926281	-1.885802	700.7	142	120	39	6291	315	11	304	159	226	226	66	384	51	10	35	131	53	60	85	38.926281_-1.885802
Ab1.4	38.926281	-1.885802	700.7	142	120	39	6291	315	11	304	159	226	226	66	384	51	10	35	131	53	60	85	38.926281_-1.885802
Ab3.3	38.926281	-1.885802	700.7	142	120	39	6291	315	11	304	159	226	226	66	384	51	10	35	131	53	60	85	38.926281_-1.885802
Ab3.5	38.926281	-1.885802	700.7	142	120	39	6291	315	11	304	159	226	226	66	384	51	10	35	131	53	60	85	38.926281_-1.885802
ABR113	38.782993	-9.250488	186.9	152	76	41	3776	253	71	182	113	197	202	105	817	128	4	65	368	33	35	348	38.782993_-9.250488
ABR114	39.476486	2.832069	121.6	162	81	36	5129	283	61	222	140	228	232	102	527	87	6	48	214	47	82	154	39.476486_2.832069
ABR2	43.604262	3.262939	370.7	128	99	37	5752	275	9	266	95	203	203	56	726	85	31	21	221	133	133	192	43.604262_3.262939
ABR3	42.689502	0.612488	1927.6	49	81	34	5393	180	-54	234	62	-9	121	-16	1201	127	80	13	344	271	275	276	42.689502_0.612488
ABR4	40.992727	-0.271568	480.2	137	98	36	5896	282	16	266	158	74	215	66	430	58	19	33	139	77	90	77	40.992727_-0.271568
ABR5	42.570276	-0.547943	828	95	99	39	5402	235	-17	252	113	166	166	28	779	84	43	15	218	164	164	191	42.570276_-0.547943
ABR5.R1	42.570276	-0.547943	828	95	99	39	5402	235	-17	252	113	166	166	28	779	84	43	15	218	164	164	191	42.570276_-0.547943
ABR6.R1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA_NA
ABR7	41.669442	-4.738702	724.7	122	116	39	6082	293	0	293	56	201	202	46	429	50	14	30	136	60	67	121	41.669442_-4.738702
ABR7.R2	41.669442	-4.738702	724.7	122	116	39	6082	293	0	293	56	201	202	46	429	50	14	30	136	60	67	121	41.669442_-4.738702
ABR9_R1	45.986466	14.503326	285	107	91	31	7056	266	-26	292	113	25	196	15	1298	138	77	17	397	246	339	282	45.986466_14.503326
ABR9_R2	45.986466	14.503326	285	107	91	31	7056	266	-26	292	113	25	196	15	1298	138	77	17	397	246	339	282	45.986466_14.503326
Abz1021_R1	42.19533	0.20794	502.6	114	103	38	5867	262	-7	269	136	40	190	40	619	72	35	20	188	124	147	124	42.19533_0.20794
Abz1021_R2	42.19533	0.20794	502.6	114	103	38	5867	262	-7	269	136	40	190	40	619	72	35	20	188	124	147	124	42.19533_0.20794
Adi.1	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
Adi.10	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
Adi.11	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
Adi.13	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
Adi.14	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
Adi.15	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
Adi.16	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
Adi.17	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
Adi.18	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
Adi.2	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
Adi.3	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
Adi.6	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
Adi.7	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
Adi.8	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
Adi.9	38.35227778	37.77069444	1744.1	85	126	32	8791	295	-90	385	74	193	194	-32	501	65	4	56	187	18	34	176	38.35227778_37.77069444
