ind	pop	species	X	Y	lane	plate
4001	GH	Dbas	144.82398	-37.7047	1	1
4002	GH	Dbas	144.82399	-37.70471	1	1
4003	GH	Dbas	144.824	-37.70472	1	1
4004	GH	Dbas	144.82401	-37.70473	1	1
4005	GH	Dbas	144.82402	-37.70474	1	1
4006	GH	Dbas	144.82403	-37.70475	1	1
4007	GH	Dbas	144.82404	-37.70476	1	1
4008	GH	Dbas	144.82405	-37.70477	1	1
4009	GH	Dbas	144.82406	-37.70478	1	1
4010	GH	Dbas	144.82407	-37.70479	1	1
4011	GH	Dbas	144.82408	-37.7048	1	1
4012	GH	Dbas	144.82409	-37.70481	1	1
4013	GH	Dbas	144.8241	-37.70482	1	1
4014	GH	Dbas	144.82411	-37.70483	1	1
4015	GH	Dbas	144.82412	-37.70484	1	1
4016	GH	Dbas	144.82413	-37.70485	1	1
4017	GH	Dbas	144.82414	-37.70486	1	1
4018	GH	Dbas	144.82415	-37.70487	1	1
4019	GH	Dbas	144.82416	-37.70488	1	1
4020	GH	Dbas	144.82417	-37.70489	1	1
4021	GH	Dbas	144.82418	-37.7049	1	1
4022	GH	Dbas	144.82419	-37.70491	1	1
4023	GH	Dbas	144.8242	-37.70492	1	1
4025	Sk	Dgre 	143.6047	-37.82038	1	1
4026	Sk	Dgre	143.6047	-37.82039	1	1
4027	Sk	Dgre 	143.6046	-37.82035	1	1
4028	Sk	Dgre 	143.60459	-37.8203	1	1
4029	ML	Dgre 	142.80153	-37.8193	1	1
4030	ML	Dgre 	142.80155	-37.81937	1	1
4031	ML	Dgre 	142.80151	-37.81941	1	1
4032	ML	Dgre 	142.80157	-37.81942	1	1
4033	ML	Dgre 	142.80155	-37.81945	1	1
4034	ML	Dgre 	142.80155	-37.81945	1	1
4035	ML	Dgre 	142.80157	-37.81945	1	1
4036	ML	Dgre 	142.80162	-37.81948	1	1
4037	ML	Dgre 	142.80166	-37.8195	1	1
4038	ML	Dgre 	142.80175	-37.81944	1	1
4039	ML	Dgre 	142.80174	-37.81938	1	1
